"id","person_id","email","password_hash","is_superadmin","is_locked","status","expired_at","created_at","updated_at","deleted_at","deleted_reason"
"006dfdbd-a394-4f0b-8afe-219ee145fc48","c11a1448-a2b7-4760-9d54-313f7dcb21c7","test_b7e3f2d0@test.local","$2b$12$mCkk8yXpBRhfsG9nwcmi7egPZOrXDpf74wPgaPHtlAxJ3vpeRIzD2","false","false","ativo",,"2026-01-08 21:31:06.666227+00","2026-01-08 21:31:06.666227+00",,
"00dabd4b-1410-4e34-8f62-71f497cc6a7b","f7a421c1-6f24-4889-ac09-f2e06f80c0f7","test_9a48d98b@test.local","$2b$12$uqPpflfpu5ahIocI7jHzmOpYjrezeoKRwEmWm8M0gX0/G/.TXwFeG","false","false","ativo",,"2026-01-08 21:27:37.471858+00","2026-01-08 21:27:37.471858+00",,
"0244765d-63bb-4274-bfb6-02affe350ed2","3e3bc417-bb74-4d01-9ef0-e57f134dfe07","test_e0780463@test.local","$2b$12$A.9oLc/QJHDGjnjGoVNP8e5e7/kJWrb5k6lv/vkaHDLWI0nEkeNyG","false","false","ativo",,"2026-01-08 23:12:57.358377+00","2026-01-08 23:12:57.358377+00",,
"028374c7-5b97-40c3-8f95-5af3b23c9f4f","971ab15c-19aa-455a-9a85-21381e8aa66b","e2e.test.1767939462610@example.com",,"false","false","inativo",,"2026-01-09 06:17:42.808002+00","2026-01-09 06:17:42.808002+00",,
"0333f94e-3793-40c0-9e49-f98bb460e893","26372d46-653b-495d-be38-5f91c9811790","test_ecc03eb7@test.local","$2b$12$3OFuu3Q9wb7lhptkSdqbS.zvl2hfqs.mLjR8weVhHir6SmftGCLV.","false","false","ativo",,"2026-01-08 22:46:23.781267+00","2026-01-08 22:46:23.781267+00",,
"03c4e5a7-9677-4fe3-acb5-7437e857637e","44b21e61-8bf7-46ad-953c-2cdf35952dd4","test_f23b7c12@test.local","$2b$12$a/E0qkNi0kUMIaOb1X.cMuiTrR/GVHNrnWWnGIc880t1CX5GoWYK.","false","false","ativo",,"2026-01-08 21:23:36.666346+00","2026-01-08 21:23:36.666346+00",,
"0443addb-f357-4563-939d-b291dda919cb","729608a8-f2ef-40e8-9951-902098c26af2","test_582bad2a@test.local","$2b$12$HkLHJ29VlnlYV8IShqJBAuDbOq4glXhhqkSbswTMwM0yKVlCGnObu","false","false","ativo",,"2026-01-08 22:06:06.334995+00","2026-01-08 22:06:06.334995+00",,
"04d30f6c-d65f-499a-b025-ac4286bbfd48","728eb4f4-7ada-424d-acf4-619a6a6f831b","test_12008d55@test.local","$2b$12$ZYV92ZgqsnLQYNTChDOXAugI5gsX8eQMon9i5y1N5C9ucDnRoPxD6","false","false","ativo",,"2026-01-08 22:34:13.911613+00","2026-01-08 22:34:13.911613+00",,
"053da600-f32a-4a9c-81a2-8f59fbd5d5fe","599a2b33-a06a-4a5c-927d-abaa36bf5f29","test_f67a4fd4@test.local","$2b$12$LCNIQfrTUVeFrsQzjFj/BerVaJQscEH54IHf3ybGb1fhmr2u08RQ.","false","false","ativo",,"2026-01-08 21:21:50.550454+00","2026-01-08 21:21:50.550454+00",,
"068c2700-1ab4-4d0b-8a38-d04bf53fbda7","65f6bdc6-a634-43db-b6f7-45d9483e5b5b","test_0938c8b7@test.local","$2b$12$KlU6w/a0MMNq21r5fIqE..MfMhDih10Oyb7Kh0riQ.s.SonKy4Msu","false","false","ativo",,"2026-01-08 21:19:04.541855+00","2026-01-08 21:19:04.541855+00",,
"068d6179-72ae-4bb2-b514-6b9a17441a6e","cc22f71f-a512-4894-824c-229ee1b7a761","test_6f18ca8a@test.local","$2b$12$iP.fcqCy4fuQ4U0uVve2aeKP0erEG95GOwF77GZzJHL.LO4KPgWbu","false","false","ativo",,"2026-01-08 23:53:19.341511+00","2026-01-08 23:53:19.341511+00",,
"08e9ced6-e6e8-471c-864d-df878d3c1ece","d637714b-33ae-4ab6-9fba-d72dc19dc848","e2e_invite_1768015943349_r6zqba@teste.com",,"false","false","inativo",,"2026-01-10 03:32:23.965062+00","2026-01-10 03:32:23.965062+00",,
"0a7e6099-3f23-4109-8552-450e3b91167d","91891e2d-73b7-4e22-8201-ff775baa135b","test_0b27ea32@test.local","$2b$12$5TNOpwBEz96Tma4pasqFa.D0e6hz/qb1lsQi5G1MQrrvZirp8w9cq","false","false","ativo",,"2026-01-08 19:59:38.640694+00","2026-01-08 19:59:38.640694+00",,
"0a8363c5-3f04-443f-a705-d42e13377594","307c5774-a400-4171-9fa7-e54a6b682be9","test_ed31b685@test.local","$2b$12$cakb40lTh48.lGUMtljX8O2fUDRjnGWmAytYtO0AwLn9c8Gua6yRq","false","false","ativo",,"2026-01-08 19:57:11.593362+00","2026-01-08 19:57:11.593362+00",,
"0b772bc3-2bdd-4c3e-a9ba-3f698cfe886d","cc4041fa-fef0-4688-8f7b-5d855723e7bc","test_9c6ae213@test.local","$2b$12$sKya1Ukwy/89goHg2zNj6OQAIg5x1/ujbD9Z0TEDTpRMkIKNXvvra","false","false","ativo",,"2026-01-08 19:59:31.364645+00","2026-01-08 19:59:31.364645+00",,
"0c5981af-eb92-4276-91a6-0fde87b0329c","4f0a205d-9c60-4dcc-9fbf-1a33218e522e","smoke_coord_235125@hbtest.com","$2b$12$EsdHCilSlLFjBgbvPll3le.MVCGl5JK2DCA9YeOBebnaLWr1F60e.","false","false","ativo",,"2026-01-01 02:51:26.094056+00","2026-01-07 02:15:07.68678+00","2026-01-07 02:15:07.68678+00","reset_to_production"
"0e2f1703-7fa7-4208-a9fd-caa55484d4a0","2842fc0d-0cd7-4020-a9e8-fc1806ff47e9","remove.1767939494943@example.com",,"false","false","inativo",,"2026-01-09 06:18:15.131671+00","2026-01-09 06:18:15.131671+00",,
"0e57bb17-d3fe-4d1a-96a6-baee2cbca454","5525bf1a-aabf-4a67-93a5-06735d9b6b6e","daniela.sermemho@gmail.com","$2b$12$aYwpnKoNhpTY7Bat1GzYAOvd1SkPW8gpVVwfjXq5ahgoROb7ISxv.","false","false","ativo",,"2025-12-30 02:40:05.203798+00","2026-01-07 02:15:07.68678+00","2026-01-07 02:15:07.68678+00","reset_to_production"
"0ea86ecf-3a02-43bd-a98c-8365c6d96549","02398325-7fad-4330-988b-34afb8995f26","test_bfa9aaec@test.local","$2b$12$hwWANCXAh9VNnVOlsdnQienFuB6sl0Qmc5gfdChLsRf.JQ3KVntca","false","false","ativo",,"2026-01-08 21:22:08.573998+00","2026-01-08 21:22:08.573998+00",,
"0eeadb35-a8c7-40b4-a6b3-58d09474fa9c","43ea07b8-6019-4b34-af23-0feb534621a0","test_f831258f@test.local","$2b$12$h8tL/GFZWvVvI6DfCT8QyeiNtltROL3K5/lDrct5WTjJQXty852Ci","false","false","ativo",,"2026-01-08 22:06:03.126965+00","2026-01-08 22:06:03.126965+00",,
"0f550c8d-7242-40a1-8024-b042f3fef40a","16d929bd-20c7-40ee-b6c2-5eb184d062cd","test_351a0d6b@test.local","$2b$12$xFPGspRIcas0nC5XkGm4MuEPvGPvUMeG1c3/zXM/bfQ94btsxfY3G","false","false","ativo",,"2026-01-08 21:30:04.259945+00","2026-01-08 21:30:04.259945+00",,
"0fcf59d5-040d-4377-9566-61dc485871e4","2f3dc73c-7353-40f2-896d-1462cb8628ce","test_e71c6022@test.local","$2b$12$UetmE9jPRxvz3hS07V95Lu1MXktbWJx1GqWjVKVgKyxz7yjQq5Gbi","false","false","ativo",,"2026-01-08 23:42:53.073765+00","2026-01-08 23:42:53.073765+00",,
"0ff43b4a-a4cc-40c1-9b65-79a52ef18e05","71b9a315-e89b-46d3-9a00-23df240b3053","test_4dfe85c0@test.local","$2b$12$Sbnr4cob/5uJitmLShpR3.TFDBIDoP.H3jCJkR5oNSIiWT.Y1kVfm","false","false","ativo",,"2026-01-08 23:25:21.551873+00","2026-01-08 23:25:21.551873+00",,
"1023d615-ca3e-410b-ac50-b5bd3924ec17","eea873e5-9515-449b-a60b-9a217b2569de","test_2d54c84d@test.local","$2b$12$QBXXXnBrDdt0zYw6i7kRvOT2hrQO5LcrRPUf83Q38aV9r.4sCBwj2","false","false","ativo",,"2026-01-08 21:13:08.137784+00","2026-01-08 21:13:08.137784+00",,
"106007aa-a76c-42f9-92d9-55782aa7974a","36708311-5b20-425c-9522-d3cb4a0702da","test_ec62a749@test.local","$2b$12$ok9L2DRcQMFVqgoLt6wrOemqDFy0JNwtCFC/xOGK7hpbA4HbXxkXW","false","false","ativo",,"2026-01-08 22:34:39.023402+00","2026-01-08 22:34:39.023402+00",,
"107519ef-0d86-4614-96e7-7d1e1705af53","e4597f7a-33e8-40e3-8b84-c36857ebbc3c","test_f6f75c66@test.local","$2b$12$Qdy/DoF6xrbsgS8/ErMoKurNqxTOlqKA9fNUXhMVb01Ahmya3P1ZG","false","false","ativo",,"2026-01-08 21:31:09.893975+00","2026-01-08 21:31:09.893975+00",,
"11efe298-c34e-4d36-92e2-c1f9522c3c36","2648fbe1-4347-44ca-8bd4-93060b20f3cf","test_ffe9b75a@test.local","$2b$12$wo8IV1R9aB7DtJSRdQhCEOECCDnNy/2Narmpoe6dvKboAZ9iS.aai","false","false","ativo",,"2026-01-08 19:57:19.132755+00","2026-01-08 19:57:19.132755+00",,
"1208aeae-34be-4ef6-8979-6a1311a47c71","b2355360-2251-479a-aff9-de29f0127b57","test_6173854a@test.local","$2b$12$I01X/x/qpyuzy7WUYUDbJOBpZ0I0R0lxGvfpNPEEDDbXkdmn49EnS","false","false","ativo",,"2026-01-08 22:34:42.395321+00","2026-01-08 22:34:42.395321+00",,
"120c21b8-9468-477d-a3e2-622d2f3f66d5","15a9d588-eee7-4897-ac7f-c7a869b9d71f","stats.test.1767938459983@example.com",,"false","false","inativo",,"2026-01-09 06:01:00.222547+00","2026-01-09 06:01:00.222547+00",,
"124da687-cc16-4715-965f-e1c17bf4f670","37705305-577b-4d40-a086-900ab957d564","remove.1767940581711@example.com",,"false","false","inativo",,"2026-01-09 06:36:22.103136+00","2026-01-09 06:36:22.103136+00",,
"13956540-456d-431f-8b0d-75d8961c7403","3b248132-3d15-425d-9ff0-6b84a308c5b4","test_c1a0285b@test.local","$2b$12$nsPeNTUU0MjMwtdslBUg1e7FEjfptMFOOV6VkQNMPRPhxG.48rxy2","false","false","ativo",,"2026-01-08 21:19:01.941981+00","2026-01-08 21:19:01.941981+00",,
"142573d7-d7a2-49d5-b1f2-1e0f58ca2a3b","83cb3a7b-47ee-468a-a525-1071b0e4a58a","test_26c9866f@test.local","$2b$12$nrbsLB2s5R6SMXWqONuEfuAE9kqX446NvHXOYe9Nhtc5mwUWMk5.u","false","false","ativo",,"2026-01-08 23:24:55.722293+00","2026-01-08 23:24:55.722293+00",,
"1452938a-5096-4706-b963-91ff91736dec","10356d81-3689-4f2b-963e-ad7d1cb834a8","test_d474b47a@test.local","$2b$12$hF1CMPLVdY2bE9x9gx5.XOskuSWHw66yL3kDpsAnGzt3e6ZHYb.Wa","false","false","ativo",,"2026-01-08 21:27:32.435874+00","2026-01-08 21:27:32.435874+00",,
"1503675f-291c-4fac-9571-0f15ace9b63b","4ceedaf2-16f6-4ce6-bc37-daf649d8ecb6","test_36365a7c@test.local","$2b$12$aHz1UmG7wsAFs.CO9wh2R.TOFwgECunf6J/lUUv51WsrPl8cIpQBS","false","false","ativo",,"2026-01-08 21:08:39.530018+00","2026-01-08 21:08:39.530018+00",,
"160dee48-55d1-4de4-a00f-2c527c1ab779","41aaf818-528d-4c07-a558-fe19742f6b27","test_a20e7d3b@test.local","$2b$12$YEYF2ZMrQXTnvB.I9rlu8eOhZz3Uh.ffNQVdIWEUfpwUC3Iz8GqES","false","false","ativo",,"2026-01-08 21:22:25.774271+00","2026-01-08 21:22:25.774271+00",,
"162a3c00-77f2-42cf-8af0-f83d61217647","a4f62bf8-1d42-4471-8058-684578ca5705","e2e_invite_1768015883998_ahq4gp@teste.com",,"false","false","inativo",,"2026-01-10 03:31:24.650884+00","2026-01-10 03:31:24.650884+00",,
"16b87f7a-1718-4605-8ac3-a68c95659ebf","e84d6041-09b1-40b7-b7dc-ab7fbd747c83","test_f00ab928@test.local","$2b$12$0b3kt5Wkqt8Sk9rKekyUp.IYDpOq/PWUcvNP6Y5cJeqLGoCDkor6.","false","false","ativo",,"2026-01-08 23:25:25.155979+00","2026-01-08 23:25:25.155979+00",,
"171b65bf-26c1-4e38-9480-1ead26ba9923","38037643-3c87-4a27-b426-0c46b8f08249","treinador1767507518@teste.com","$2b$12$vIk7d5pJXkQbjh8D5.QGluRo4dYvx79fOMPia2Z0DVi6.9ZkIFW2a","false","false","ativo",,"2026-01-04 06:18:41.777714+00","2026-01-07 02:15:07.68678+00","2026-01-07 02:15:07.68678+00","reset_to_production"
"1796f6ad-74b8-40e9-b056-b885ebafb38a","85db061a-d5eb-4ed5-8beb-c4a3ae452fca","test_8bba1843@test.local","$2b$12$lAoDGeOsb3u/o5tj1DU3m.5dAC/JJ/klKUX4azLVheI.KVNhijLOa","false","false","ativo",,"2026-01-08 20:16:33.476546+00","2026-01-08 20:16:33.476546+00",,
"1865baf7-cf88-420b-b281-bc3920911c84","eb33a9a3-a1fd-4c2a-a35b-9c9928e5a15f","test_0c92b803@test.local","$2b$12$l8CEcHhPF1TNIO29Xr1Wiunu5lXuH2t749kT15hKgTLV5GFR.0XNC","false","false","ativo",,"2026-01-08 23:43:17.425055+00","2026-01-08 23:43:17.425055+00",,
"18b86ca4-f718-4d40-8f98-6c88a30cd141","7b2992ce-b378-4f13-9d85-efe7f4e67167","test_c3fbed5e@test.local","$2b$12$/uVGAieNxR7e41fMbEd2JO4OQTkcuulo3987P4ojSfceelv0/kJeK","false","false","ativo",,"2026-01-08 21:18:37.854872+00","2026-01-08 21:18:37.854872+00",,
"1b0aa695-3e73-46ef-9fd3-2d1ed4d1ab2b","da9407ce-9012-47ca-9c0b-03003108ea35","test_f0a43453@test.local","$2b$12$j5TaU8qcEw/AZne/Vy288eM.04UIF/MQ1a8BcsU0a1WrcT2C094.W","false","false","ativo",,"2026-01-08 23:52:57.605553+00","2026-01-08 23:52:57.605553+00",,
"1bad5dcc-291d-40dd-b939-3cf9a9ba04e5","9dd52e02-7c02-4f6f-9665-bb0bd7fc6012","test_deeb7ee9@test.local","$2b$12$jelnUUSC6DF/942uJFN9LuzU8FBXMS8TfISrcHWPeHTyMOhrZ7vpe","false","false","ativo",,"2026-01-08 21:29:46.443413+00","2026-01-08 21:29:46.443413+00",,
"1c9a5100-7365-4b49-9925-cfd8850bfc87","ae8185a9-7f8c-44e1-be37-8598e5bb65e4","test_7fca90a3@test.local","$2b$12$0uvofgi7A.t.ZCkLTT.iVu.HX8wMWlQeyJivNwpMDSgE5I1jsIYAK","false","false","ativo",,"2026-01-08 21:27:42.048407+00","2026-01-08 21:27:42.048407+00",,
"1ddfd505-c87e-4e4b-9fc3-01396339beb7","42e89b62-d9cd-428f-b226-9355f1f9f1be","test_a4a0ce78@test.local","$2b$12$K0dhntnSYC3mQZNu4WDCaunjRGZgp95COMtCeJrS6gN8FBcLUd/Am","false","false","ativo",,"2026-01-08 23:13:36.498304+00","2026-01-08 23:13:36.498304+00",,
"1e67f2bf-cb69-4248-99fb-f92a9355f780","de6add41-5cb5-4aab-9007-0424f7736e01","test_f131bfb6@test.local","$2b$12$SjHpJ5NZ2pPftfLyN6PS8.Gqzy7/a06YejDeyVt2ZSBIUkVcm/C6m","false","false","ativo",,"2026-01-08 21:19:11.794225+00","2026-01-08 21:19:11.794225+00",,
"1e993a80-613c-4ea6-86e7-accbe0ad43fd","1552cb5d-e528-4003-906d-31ca816d81ae","test_923181c0@test.local","$2b$12$B8pAf4AHtbaJ9Aomv6vfQ.BN6A5rpx3v07EWE2nbatyJ3f/VK8rZ6","false","false","ativo",,"2026-01-08 21:27:46.652016+00","2026-01-08 21:27:46.652016+00",,
"1ecaf4b4-ec86-45b1-8f07-b9c13d892e73","3a06bf66-b21b-4a60-91a9-630aa5d5cf3a","test_670642dc@test.local","$2b$12$aZviU1w4fZYklJoBCKT.zepRLdLiZsJk9mOr9ngbFL1DhloN5ubiu","false","false","ativo",,"2026-01-08 23:53:16.053977+00","2026-01-08 23:53:16.053977+00",,
"1f3a6a10-4d16-44c8-9f7a-fe76a522ebd9","ae99d805-70d8-4b54-8dd7-4af21cdce9ee","test_bb39733b@test.local","$2b$12$PkEa8oIHUQ3ecwlUzNouO.pKs.3ufeBlZdiNiD3QEezPX4vxwotVa","false","false","ativo",,"2026-01-08 23:52:38.517576+00","2026-01-08 23:52:38.517576+00",,
"2002c5b4-d1d8-4810-b804-e5d097fe7fe6","957deab5-dd1d-4823-9d47-1f89869dd38a","test_35dc4ae7@test.local","$2b$12$iHUJO3RcyGugkkqsmX003uCDREWOhgYroJgqpsI4Y2hjrA/lYR8/m","false","false","ativo",,"2026-01-08 22:34:28.499339+00","2026-01-08 22:34:28.499339+00",,
"2093e188-6364-4749-960f-db6bf59b0020","8a57ce12-5d11-4dd3-ab6c-8f909d033d2e","test_90b3e46b@test.local","$2b$12$.tHkpFHb4zksxysGaObY/uPD4pz7tky3UkZjpGEFzxX1xOxZ7wPla","false","false","ativo",,"2026-01-08 23:53:22.577054+00","2026-01-08 23:53:22.577054+00",,
"211ac85c-0a40-446b-8164-88ac709a664e","8beb3c48-9882-4057-9019-562740e76e11","test_1a9f4e52@test.local","$2b$12$7p9A1O6W10XBsXyGUsBs2.C.fiS88Wf7W.hN0X47UGAFon4LRUq0.","false","false","ativo",,"2026-01-08 20:51:19.937316+00","2026-01-08 20:51:19.937316+00",,
"22f2678d-2878-43cd-af9f-44271380956a","0ac9bf8f-89e0-4f58-b212-f1f2e2d3b6ac","test_64e51107@test.local","$2b$12$h2ZZOoUdpMdvYgaiZrvtT.nmCJuCwgwT5R/ddzbcQq4gczBGlMAAy","false","false","ativo",,"2026-01-08 20:16:27.032551+00","2026-01-08 20:16:27.032551+00",,
"2531826d-da99-406c-b0ec-b74fe2afa306","da4408e5-c346-4165-9a3a-97fecea8c29e","test_b02d894f@test.local","$2b$12$mJrpXZ9t/V6mFqNdg0YCHe30E3HQQ83WGlmadMxQXbzRlOEspjOiu","false","false","ativo",,"2026-01-08 23:13:03.754357+00","2026-01-08 23:13:03.754357+00",,
"255d48f9-1ee0-407b-9a63-693130131789","ab721362-1f97-40af-8451-9a54362d6b37","test_cc51b6a0@test.local","$2b$12$gNdzUGeNe4L1Mo39FYDN6.FHUE7.roR9t0ba64Jm5Pug1k.9OKLDW","false","false","ativo",,"2026-01-08 21:21:56.937079+00","2026-01-08 21:21:56.937079+00",,
"25c91b29-dc53-41e9-bea6-4e93d143c397","83d6e2dd-6e0c-4249-9a12-9057bd56b23d","test_cbf4f712@test.local","$2b$12$09vRVFFn46oY2HKkk4A7/uN33soeNXq6t5Mk89zYGZ1o63W8X3yrC","false","false","ativo",,"2026-01-08 22:20:54.884336+00","2026-01-08 22:20:54.884336+00",,
"25e5c8ff-bc23-4769-9a2e-edd72cd8293b","fa333b9c-dc4a-41e4-8b47-7ff957575a05","test_dff73d92@test.local","$2b$12$uxNxd/5abfL3g561Dk3/wu.P/lK1M/vWANgF.ES5w5ockcd08SxzW","false","false","ativo",,"2026-01-08 19:59:02.512779+00","2026-01-08 19:59:02.512779+00",,
